Keyword,Pillar,Intent,Product,Content type,Priority,Target URL,Notes
best compact air fryer for small kitchen,Compact appliances,Commercial,Compact air fryer,Best-list,P1,/best/best-compact-air-fryers-small-kitchens/,"First money post candidate"
best small rice cooker for one person,Compact appliances,Commercial,Small rice cooker,Best-list,P1,/best/best-small-rice-cookers-one-person/,"Good apartment/single-person angle"
best dish drying rack for small kitchen,Kitchen organization,Commercial,Dish drying rack,Best-list,P1,/best/best-dish-drying-racks-small-kitchens/,"High visual usefulness"
best small coffee maker for apartment,Coffee setup,Commercial,Small coffee maker,Best-list,P1,/best/best-small-coffee-makers-apartments/,"Strong coffee pillar"
compact air fryer vs toaster oven,Compact appliances,Comparison,Air fryer/toaster oven,Comparison,P1,/comparisons/compact-air-fryer-vs-toaster-oven/,"Decision-stage topic"
best under sink organizer for kitchen cleaning supplies,Kitchen organization,Commercial,Under sink organizer,Best-list,P2,/best/best-under-sink-organizers-kitchen-cleaning-supplies/,"Good before-after potential"
best mini food processor for small kitchen,Compact appliances,Commercial,Mini food processor,Best-list,P2,/best/best-mini-food-processors-small-kitchens/,"Needs comparison criteria"
small rice cooker vs instant pot mini,Compact appliances,Comparison,Rice cooker/Instant Pot Mini,Comparison,P2,/comparisons/small-rice-cooker-vs-instant-pot-mini/,"Good trade-off post"
how to choose an air fryer size for two people,Compact appliances,Informational,Compact air fryer,Tutorial,P2,/guides/how-to-choose-air-fryer-size-two-people/,"Supporting article for air fryer post"
best spice rack for small cabinets,Kitchen organization,Commercial,Spice rack,Best-list,P2,/best/best-spice-racks-small-cabinets/,"Organization pillar"
best pot lid organizer for small kitchen,Kitchen organization,Commercial,Pot lid organizer,Best-list,P2,/best/best-pot-lid-organizers-small-kitchens/,"Practical storage problem"
best compact coffee grinder for apartment,Coffee setup,Commercial,Coffee grinder,Best-list,P2,/best/best-compact-coffee-grinders-apartments/,"Coffee setup support"
milk frother vs steam wand for home coffee,Coffee setup,Comparison,Milk frother,Comparison,P2,/comparisons/milk-frother-vs-steam-wand/,"Useful decision article"
best electric scrubber for kitchen sink,Cleaning tools,Commercial,Electric scrubber,Best-list,P2,/best/best-electric-scrubbers-kitchen-sink/,"Video demo potential"
how to organize a small kitchen without a pantry,Kitchen organization,Informational,Pantry bins/shelf risers,Tutorial,P2,/guides/organize-small-kitchen-without-pantry/,"Traffic/supporting article"
best kitchen tools for first apartment,Buying guides,Commercial,Starter set,Best-list,P2,/best/best-kitchen-tools-first-apartment/,"Broad hub/money hybrid"
best compact blender for smoothies,Compact appliances,Commercial,Compact blender,Best-list,P2,/best/best-compact-blenders-smoothies/,"Competitive; narrow later"
best over sink cutting board for small kitchen,Kitchen organization,Commercial,Over-sink cutting board,Best-list,P2,/best/best-over-sink-cutting-boards-small-kitchens/,"Space-saving angle"
best cabinet shelf risers for kitchen,Kitchen organization,Commercial,Cabinet shelf riser,Best-list,P2,/best/best-cabinet-shelf-risers-kitchen/,"Easy visual proof"
small kitchen appliances worth buying,Buying guides,Informational,Multiple,Hub guide,P2,/guides/small-kitchen-appliances-worth-buying/,"Core authority guide"
best cutting board for small kitchens,Kitchen,Commercial,Cutting board,Best-list,P3,/best/best-cutting-boards-small-kitchens/,"Needs specific differentiator"
how to clean an air fryer basket,Compact appliances,Informational,Air fryer,Tutorial,P3,/guides/how-to-clean-air-fryer-basket/,"Supporting and trust content"
best collapsible colander for small kitchen,Kitchen,Commercial,Collapsible colander,Best-list,P3,/best/best-collapsible-colanders-small-kitchens/,"Space-saving support"
best sink caddy for kitchen sponge,Cleaning tools,Commercial,Sink caddy,Best-list,P3,/best/best-sink-caddies-kitchen-sponge/,"Low ticket but visual"
best portable induction cooktop for apartment,Compact appliances,Commercial,Portable induction cooktop,Best-list,P3,/best/best-portable-induction-cooktops-apartments/,"Safety and lease restrictions matter"
best small toaster oven for apartment,Compact appliances,Commercial,Compact toaster oven,Best-list,P2,/best/best-small-toaster-ovens-apartments/,"Competitive; compare clearance and crumb tray"
best mini food chopper for small kitchen,Compact appliances,Commercial,Mini food chopper,Best-list,P2,/best/best-mini-food-choppers-small-kitchens/,"Alternative wording for food processor"
best compact rice cooker for two people,Compact appliances,Commercial,Small rice cooker,Best-list,P1,/best/best-compact-rice-cookers-two-people/,"High fit for audience"
best small air fryer for one person,Compact appliances,Commercial,Compact air fryer,Best-list,P1,/best/best-small-air-fryers-one-person/,"Narrower than main air fryer keyword"
best air fryer for apartment kitchen,Compact appliances,Commercial,Compact air fryer,Best-list,P2,/best/best-air-fryers-apartment-kitchens/,"Apartment-focused variant"
best mini blender for small kitchen,Compact appliances,Commercial,Compact blender,Best-list,P2,/best/best-mini-blenders-small-kitchens/,"Smoothies and storage angle"
best immersion blender for small kitchen,Compact appliances,Commercial,Immersion blender,Best-list,P2,/best/best-immersion-blenders-small-kitchens/,"Good compact alternative"
best compact microwave for small apartment,Compact appliances,Commercial,Compact microwave,Best-list,P3,/best/best-compact-microwaves-small-apartments/,"Broader and competitive"
small air fryer vs microwave,Compact appliances,Comparison,Air fryer/microwave,Comparison,P3,/comparisons/small-air-fryer-vs-microwave/,"Useful but may be broad"
mini food processor vs immersion blender,Compact appliances,Comparison,Mini food processor/immersion blender,Comparison,P2,/comparisons/mini-food-processor-vs-immersion-blender/,"Practical prep decision"
best narrow dish rack for small sink,Kitchen organization,Commercial,Dish drying rack,Best-list,P1,/best/best-narrow-dish-racks-small-sinks/,"Strong long-tail visual topic"
best roll up dish drying rack for small kitchen,Kitchen organization,Commercial,Roll-up dish rack,Best-list,P2,/best/best-roll-up-dish-drying-racks-small-kitchens/,"Specific product type"
best over sink dish rack for apartment,Kitchen organization,Commercial,Over-sink dish rack,Best-list,P2,/best/best-over-sink-dish-racks-apartments/,"Good space-saving angle"
best under cabinet spice rack for small kitchen,Kitchen organization,Commercial,Spice rack,Best-list,P2,/best-under-cabinet-spice-racks-small-kitchens/,"Specific storage solution"
best drawer organizer for small kitchen utensils,Kitchen organization,Commercial,Drawer organizer,Best-list,P2,/best/best-drawer-organizers-small-kitchen-utensils/,"Good practical query"
best cabinet organizer for pots and pans,Kitchen organization,Commercial,Pot/pan organizer,Best-list,P2,/best/best-cabinet-organizers-pots-pans/,"Good storage pain point"
best kitchen cart for small apartment,Kitchen organization,Commercial,Kitchen cart,Best-list,P2,/best/best-kitchen-carts-small-apartments/,"Home/kitchen crossover"
best pantry bins for small kitchen,Kitchen organization,Commercial,Pantry bins,Best-list,P3,/best/best-pantry-bins-small-kitchens/,"Could be too broad"
how to store appliances in a small kitchen,Kitchen organization,Informational,Multiple,Tutorial,P2,/guides/store-appliances-small-kitchen/,"Good support for appliance guides"
small kitchen counter organization ideas,Kitchen organization,Informational,Multiple,Tutorial,P3,/guides/small-kitchen-counter-organization-ideas/,"Traffic and internal links"
best coffee maker for small counter space,Coffee setup,Commercial,Small coffee maker,Best-list,P1,/best/best-coffee-makers-small-counter-space/,"Variant of apartment coffee"
best single serve coffee maker for apartment,Coffee setup,Commercial,Single serve coffee maker,Best-list,P2,/best/best-single-serve-coffee-makers-apartments/,"Commercial and specific"
best compact espresso machine for small kitchen,Coffee setup,Commercial,Compact espresso machine,Best-list,P2,/best/best-compact-espresso-machines-small-kitchens/,"Competitive but valuable"
best manual coffee grinder for apartment,Coffee setup,Commercial,Manual coffee grinder,Best-list,P2,/best/best-manual-coffee-grinders-apartments/,"Noise/space angle"
best quiet coffee grinder for apartment,Coffee setup,Commercial,Coffee grinder,Best-list,P2,/best/best-quiet-coffee-grinders-apartments/,"Apartment noise angle"
small coffee station ideas for apartment,Coffee setup,Informational,Coffee setup,Tutorial,P2,/guides/small-coffee-station-ideas-apartment/,"Visual/supporting topic"
best sink organizer for small kitchen,Cleaning tools,Commercial,Sink organizer,Best-list,P2,/best/best-sink-organizers-small-kitchens/,"Cleaning/organization crossover"
best small dish soap dispenser for kitchen sink,Cleaning tools,Commercial,Dish soap dispenser,Best-list,P3,/best/best-small-dish-soap-dispensers-kitchen-sink/,"Low ticket supporting"
best compact trash can for small kitchen,Cleaning tools,Commercial,Slim trash can,Best-list,P2,/best/best-compact-trash-cans-small-kitchens/,"Good small-space problem"
best under sink trash can for small kitchen,Cleaning tools,Commercial,Under-sink trash can,Best-list,P2,/best/best-under-sink-trash-cans-small-kitchens/,"Specific storage angle"
best countertop compost bin for apartment,Cleaning tools,Commercial,Compost bin,Best-list,P2,/best/best-countertop-compost-bins-apartments/,"Odor/space angle"
best cleaning caddy for apartment kitchen,Cleaning tools,Commercial,Cleaning caddy,Best-list,P3,/best/best-cleaning-caddies-apartment-kitchens/,"Support article"
apartment kitchen essentials checklist,Buying guides,Informational,Multiple,Hub guide,P2,/guides/apartment-kitchen-essentials-checklist/,"Good lead magnet/article"
minimalist kitchen tools list,Buying guides,Informational,Multiple,Hub guide,P2,/guides/minimalist-kitchen-tools-list/,"Audience-fit but broader"
what kitchen appliances do I really need,Buying guides,Informational,Multiple,Hub guide,P2,/guides/what-kitchen-appliances-do-i-need/,"Strong people-first topic"
best kitchen appliances for renters,Buying guides,Commercial,Multiple,Best-list,P2,/best/best-kitchen-appliances-for-renters/,"Audience-specific"
best space saving kitchen gadgets,Buying guides,Commercial,Multiple,Best-list,P3,/best/best-space-saving-kitchen-gadgets/,"Broad, competitive"
compact blender buying guide,Compact appliances,Informational,Compact blender,Tutorial,P2,/guides/compact-blender-buying-guide/,"Support content before compact blender best-list"
manual coffee grinder buying guide,Coffee setup,Informational,Manual coffee grinder,Tutorial,P2,/guides/manual-coffee-grinder-buying-guide/,"Support content before manual grinder best-list"
countertop compost bin apartment guide,Cleaning tools,Informational,Compost bin,Tutorial,P2,/guides/countertop-compost-bin-apartment-guide/,"Support content before compost bin best-list"
portable induction cooktop apartment guide,Compact appliances,Informational,Portable induction cooktop,Tutorial,P2,/guides/portable-induction-cooktop-apartment-guide/,"Safety/setup support before product list"
